type,aux info,tag used,org_type,old_label,type_original,area_m2
RES,residential_types,building:apartments,RES,Multifamily,RES,11446.79178156165
RES,residential_types,building:apartments,RES,Multifamily,RES,5099.37596512629
RES,residential_types,building:residential,RES,Multifamily,RES,6982.9492581160175
RES,residential_types,building:residential,RES,Multifamily,RES,3488.269688767826
RES,residential_types,building:apartments,RES,Multifamily,RES,1345.9090569921198
RES,residential_types,building:house,NON_RES,Institutional,RES,165.84124585488908
RES,residential_types,building:house,RES,Single Family Detached,RES,124.52889391965526
RES,residential_types,building:house,RES,Single Family Detached,RES,255.2001745659853
RES,residential_types,building:garage,RES,Single Family Detached,RES,202.5075933564449
RES,residential_types,building:house,RES,Manufactured Housing Park,RES,89.91051517084401
RES,residential_types,building:house,NON_RES,Retail and Other Commercial,RES,141.79434923250432
RES,residential_types,building:garage,RES,Single Family Detached,RES,34.28919445615889
RES,residential_types,building:house,RES,Single Family Detached,RES,102.03225867439197
RES,residential_types,building:garage,NON_RES,Retail and Other Commercial,RES,117.01422455341117
RES,residential_types,building:garage,RES,Single Family Attached,RES,63.362546886177725
RES,residential_types,building:house,RES,Single Family Attached,RES,125.52634318431852
RES,residential_types,building:shed,RES,Single Family Attached,RES,35.10370026995315
RES,residential_types,building:house,RES,Single Family Attached,RES,224.8861171563475
RES,residential_types,building:detached,RES,Single Family Detached,RES,145.63027393224345
RES,residential_types,building:garage,RES,Single Family Detached,RES,174.67070208192592
RES,residential_types,building:house,RES,Single Family Detached,RES,110.52215777061039
RES,residential_types,building:garage,RES,Single Family Detached,RES,92.14354428082129
RES,residential_types,building:house,RES,Single Family Detached,RES,108.01334408531874
RES,residential_types,building:garage,RES,Single Family Detached,RES,43.53363326604027
RES,residential_types,building:house,RES,Single Family Detached,RES,116.269828066575
RES,residential_types,building:garage,RES,Single Family Detached,RES,45.48618535282894
RES,residential_types,building:house,RES,Single Family Detached,RES,97.54913961958289
RES,residential_types,building:house,RES,Single Family Detached,RES,110.28185410795155
RES,residential_types,building:house,RES,Single Family Detached,RES,114.06355716674767
RES,residential_types,building:garage,RES,Single Family Detached,RES,28.412926209294692
RES,residential_types,building:garage,RES,Single Family Detached,RES,87.40663044134101
RES,residential_types,building:garage,RES,Single Family Detached,RES,41.48878665861878
RES,residential_types,building:garage,RES,Single Family Detached,RES,38.00948899765834
RES,residential_types,building:house,RES,Single Family Detached,RES,201.57558516625784
RES,residential_types,building:house,RES,Single Family Detached,RES,193.53402310546446
RES,residential_types,building:house,RES,Single Family Detached,RES,171.09915293287543
RES,residential_types,building:shed,RES,Single Family Detached,RES,25.94657608539422
RES,residential_types,building:garage,RES,Single Family Detached,RES,57.599647636158814
RES,residential_types,building:garage,RES,Single Family Detached,RES,81.02755620962137
RES,residential_types,building:house,RES,Single Family Detached,RES,101.05496247293377
RES,residential_types,building:house,RES,Single Family Detached,RES,169.9220264213165
RES,residential_types,building:house,RES,Single Family Detached,RES,126.44540537837811
RES,residential_types,building:house,RES,Single Family Detached,RES,221.5059840045225
RES,residential_types,building:garage,RES,Single Family Attached,RES,87.95810597313611
RES,residential_types,building:house,RES,Single Family Detached,RES,95.30856375399429
RES,residential_types,building:house,RES,Single Family Attached,RES,141.92414368928144
RES,residential_types,building:house,RES,Single Family Detached,RES,109.95031310390071
RES,residential_types,building:house,RES,Single Family Detached,RES,96.9487749195142
RES,residential_types,building:house,RES,Single Family Detached,RES,94.40432786026147
RES,residential_types,building:house,RES,Single Family Detached,RES,75.59414251167559
RES,residential_types,building:house,RES,Single Family Detached,RES,69.8959717941299
RES,residential_types,building:apartments,RES,Multifamily,RES,732.8872701681549
RES,residential_types,building:apartments,RES,Multifamily,RES,717.707836569535
RES,residential_types,building:house,RES,Single Family Detached,RES,217.5133672147215
RES,residential_types,building:house,RES,Single Family Detached,RES,249.79474675646725
RES,residential_types,building:house,RES,Single Family Detached,RES,322.82357113006003
RES,residential_types,building:shed,RES,Single Family Detached,RES,122.4432348427362
RES,residential_types,building:house,RES,Single Family Detached,RES,151.74380107352243
RES,residential_types,building:house,RES,Single Family Detached,RES,271.0312043313767
RES,residential_types,building:house,RES,Single Family Detached,RES,216.69686478519512
RES,residential_types,building:house,RES,Single Family Detached,RES,217.0528879758448
RES,residential_types,building:house,RES,Single Family Detached,RES,211.32094012427999
RES,residential_types,building:garage,RES,Single Family Detached,RES,42.16014991515155
RES,residential_types,building:house,RES,Single Family Detached,RES,296.5254478040466
RES,residential_types,building:house,RES,Single Family Detached,RES,266.67794210528007
RES,residential_types,building:garage,RES,Single Family Detached,RES,117.91340720059046
RES,residential_types,building:shed,RES,Single Family Detached,RES,27.67841036195818
RES,residential_types,building:house,RES,Single Family Detached,RES,179.3129812164679
RES,residential_types,building:house,RES,Single Family Detached,RES,202.12797654787704
RES,residential_types,building:house,RES,Single Family Detached,RES,240.8308229034472
RES,residential_types,building:house,RES,Single Family Detached,RES,236.56925325855772
RES,residential_types,building:house,RES,Single Family Detached,RES,197.0583368267702
RES,residential_types,building:shed,RES,Single Family Detached,RES,173.75965966558005
RES,residential_types,building:house,RES,Single Family Detached,RES,363.04494837842617
RES,residential_types,building:house,RES,Single Family Detached,RES,336.94261421765856
RES,residential_types,building:house,RES,Single Family Detached,RES,422.4502783593213
RES,residential_types,building:house,RES,Single Family Detached,RES,301.47096011222015
RES,residential_types,building:house,RES,Single Family Detached,RES,277.8806609115336
RES,residential_types,building:house,RES,Single Family Detached,RES,238.74753314145025
RES,residential_types,building:house,RES,Single Family Detached,RES,223.26153790834962
RES,residential_types,building:house,RES,Single Family Detached,RES,313.4563652629397
RES,residential_types,building:house,RES,Single Family Detached,RES,351.26284592217246
RES,residential_types,building:house,RES,Single Family Detached,RES,479.90081096324093
RES,residential_types,building:house,RES,Single Family Detached,RES,221.24897343541565
RES,residential_types,building:house,RES,Single Family Detached,RES,301.4033296040295
RES,residential_types,building:house,RES,Single Family Detached,RES,134.84825398160646
RES,residential_types,building:house,RES,Single Family Detached,RES,87.5908839969998
RES,residential_types,building:house,RES,Single Family Attached,RES,613.1876686601447
RES,residential_types,building:house,RES,Single Family Attached,RES,874.7253323532609
RES,residential_types,building:house,RES,Single Family Attached,RES,425.18517860069664
RES,residential_types,building:house,RES,Single Family Attached,RES,794.1742228043886
RES,residential_types,building:house,RES,Single Family Attached,RES,417.9373521779838
RES,residential_types,building:house,RES,Single Family Attached,RES,597.0566325494098
RES,residential_types,building:house,RES,Single Family Attached,RES,1021.6774347963166
RES,residential_types,building:house,RES,Single Family Attached,RES,408.54213809015323
RES,residential_types,building:house,RES,Single Family Attached,RES,1017.4232522966213
RES,residential_types,building:house,RES,Single Family Attached,RES,1018.071684453979
RES,residential_types,building:house,RES,Single Family Attached,RES,463.3905367314401
RES,residential_types,building:house,RES,Single Family Attached,RES,561.2445515718293
RES,residential_types,building:house,RES,Single Family Attached,RES,482.23535662554673
RES,residential_types,building:house,RES,Single Family Attached,RES,919.1098121191807
RES,residential_types,building:house,RES,Single Family Attached,RES,981.4270356537186
RES,residential_types,building:house,RES,Single Family Attached,RES,1067.7982081174232
RES,residential_types,building:house,RES,Single Family Attached,RES,664.85841001123
RES,residential_types,building:house,RES,Single Family Attached,RES,434.63463005432413
RES,residential_types,building:house,RES,Single Family Attached,RES,461.6301014707646
RES,residential_types,building:house,RES,Single Family Attached,RES,1079.358979321204
RES,residential_types,building:house,RES,Single Family Attached,RES,675.2589519417522
RES,residential_types,building:apartments,RES,Multifamily,RES,1132.3863943562653
RES,residential_types,building:apartments,RES,Multifamily,RES,1212.2513244288473
RES,residential_types,building:apartments,RES,Multifamily,RES,1649.7162087689408
RES,residential_types,building:apartments,RES,Multifamily,RES,1612.68317322808
RES,residential_types,building:apartments,RES,Multifamily,RES,2616.530718165841
RES,residential_types,building:apartments,RES,Multifamily,RES,1943.1095097907557
RES,residential_types,building:apartments,RES,Multifamily,RES,1364.8623343157522
RES,residential_types,building:apartments,RES,Multifamily,RES,5979.983070398782
RES,residential_types,building:apartments,RES,Multifamily,RES,2280.368634008386
RES,residential_types,building:apartments,RES,Multifamily,RES,579.9304192246259
RES,residential_types,building:apartments,RES,Multifamily,RES,545.9117131369914
RES,residential_types,building:apartments,RES,Multifamily,RES,570.8415353244154
RES,residential_types,building:apartments,RES,Multifamily,RES,529.7046020014639
RES,residential_types,building:house,RES,Single Family Detached,RES,202.57192613660152
RES,residential_types,building:house,RES,Single Family Attached,RES,171.06616044581946
RES,residential_types,building:apartments,RES,Multifamily,RES,2339.0874877235105
RES,residential_types,building:house,RES,Single Family Detached,RES,125.08091413493173
RES,residential_types,building:house,RES,Single Family Detached,RES,177.2955270513241
RES,residential_types,building:house,RES,Single Family Detached,RES,212.99823070369933
RES,residential_types,building:house,RES,Single Family Detached,RES,124.37853069883599
RES,residential_types,building:house,RES,Single Family Detached,RES,122.85150413494658
RES,residential_types,building:house,RES,Single Family Detached,RES,122.13767127640855
RES,residential_types,building:house,RES,Single Family Detached,RES,134.2389174806851
RES,residential_types,building:house,RES,Single Family Detached,RES,229.43472594630163
RES,residential_types,building:house,RES,Single Family Detached,RES,133.34303588281824
RES,residential_types,building:house,RES,Single Family Detached,RES,145.0930509447723
RES,residential_types,building:house,RES,Single Family Detached,RES,140.4451377208055
RES,residential_types,building:house,RES,Single Family Detached,RES,116.32609138835673
RES,residential_types,building:house,RES,Single Family Detached,RES,129.6755709757612
RES,residential_types,building:house,RES,Single Family Detached,RES,125.12526769175028
RES,residential_types,building:house,RES,Single Family Detached,RES,127.3624890158119
RES,residential_types,building:house,RES,Single Family Detached,RES,182.01249569660655
RES,residential_types,building:house,RES,Single Family Detached,RES,287.5818601844156
RES,residential_types,building:house,RES,Single Family Detached,RES,136.28940229853515
RES,residential_types,building:house,RES,Single Family Detached,RES,171.05287915392037
RES,residential_types,building:house,RES,Single Family Detached,RES,139.19140838389018
RES,residential_types,building:house,RES,Single Family Detached,RES,162.62442758095386
RES,residential_types,building:house,RES,Single Family Detached,RES,214.60345349370985
RES,residential_types,building:house,RES,Single Family Detached,RES,219.71831267937225
RES,residential_types,building:house,RES,Single Family Detached,RES,166.61288286268305
RES,residential_types,building:house,RES,Single Family Detached,RES,126.05922925929029
RES,residential_types,building:house,RES,Single Family Detached,RES,108.87383252195309
RES,residential_types,building:house,RES,Single Family Detached,RES,104.82748593104043
